nwdate,delta_Unemployment1,delta_Mortgage_rate1,delta_House_Price_Index__Level1,delta_Unemployment3,delta_Mortgage_rate3,delta_House_Price_Index__Level3,delta_Unemployment6,delta_Mortgage_rate6,delta_House_Price_Index__Level6,delta_Unemployment9,delta_Mortgage_rate9,delta_House_Price_Index__Level9,delta_Unemployment12,delta_Mortgage_rate12,delta_House_Price_Index__Level12,delta_Unemployment15,delta_Mortgage_rate15,delta_House_Price_Index__Level15,delta_Unemployment18,delta_Mortgage_rate18,delta_House_Price_Index__Level18,delta_Unemployment21,delta_Mortgage_rate21,delta_House_Price_Index__Level21,delta_Unemployment24,delta_Mortgage_rate24,delta_House_Price_Index__Level24
Jan-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-01,0.0289951,0.0216458,0.00433446,,,,,,,,,,,,,,,,,,,,,,,,
Mar-01,0.017408,0.011556,0.00496213,,,,,,,,,,,,,,,,,,,,,,,,
Apr-01,0.0120611,0.00371727,0.00566405,0.0584642,0.0369191,0.0149606,,,,,,,,,,,,,,,,,,,,,
May-01,0.0115687,-0.0029004,0.00610663,0.0410378,0.0123728,0.0167328,,,,,,,,,,,,,,,,,,,,,
Jun-01,0.0164653,-0.0076808,0.00643563,0.0400952,-0.006864,0.0182063,,,,,,,,,,,,,,,,,,,,,
Jul-01,0.0264631,-0.010763,0.00666146,0.0544971,-0.021344,0.0192037,0.112961297,0.0155749,0.0341644,,,,,,,,,,,,,,,,,,
Aug-01,0.0413889,-0.012238,0.00689214,0.084317282,-0.030682,0.0199892,0.125355088,-0.018309,0.036722,,,,,,,,,,,,,,,,,,
Sep-01,0.0538612,-0.011122,0.00677016,0.121713107,-0.034123,0.0203238,0.161808281,-0.040987,0.0385301,,,,,,,,,,,,,,,,,,
Oct-01,0.0538413,-0.0069003,0.00654928,0.149091347,-0.03026,0.0202116,0.203588479,-0.051604,0.0394153,0.262052643,-0.014685,0.0543759,,,,,,,,,,,,,,,
Nov-01,0.0397303,0.000854841,0.00610586,0.147432762,-0.017167,0.0194253,0.231750044,-0.047849,0.0394145,0.272787851,-0.035476,0.0561473,,,,,,,,,,,,,,,
Dec-01,0.0182973,0.0100495,0.00565823,0.111868866,0.00400405,0.0183134,0.233581973,-0.030119,0.0386371,0.273677147,-0.036982,0.0568434,,,,,,,,,,,,,,,
Jan-02,0.00501376,0.0142191,0.00597908,0.063041308,0.0251234,0.0177432,0.212132655,-0.0051364,0.0379548,0.266629788,-0.026481,0.0571585,0.325093952,0.0104385,0.072119104,,,,,,,,,,,,
Feb-02,0.00342433,0.0106684,0.00670703,0.0267353,0.034937,0.0183443,0.174168109,0.0177701,0.0377696,0.258485391,-0.012912,0.0577589,0.299523197,-0.0005389,0.074491677,,,,,,,,,,,,
Mar-02,0.0093498,0.00237843,0.0081993,0.0177879,0.027266,0.0208854,0.129656774,0.0312701,0.0391987,0.25136988,-0.0028525,0.0595225,0.291465054,-0.009716,0.077728807,,,,,,,,,,,,
Apr-02,0.0108512,-0.008511,0.0094775,0.0236253,0.00453562,0.0243838,0.086666639,0.0296591,0.042127,0.235757986,-0.00060082,0.0623386,0.290255119,-0.021945,0.08154229,0.348719283,0.0149741,0.096502918,,,,,,,,,
May-02,0.00325391,-0.021738,0.0096606,0.0234549,-0.027871,0.0273374,0.0501903,0.00706605,0.0456817,0.197623017,-0.010101,0.065107027,0.281940298,-0.040783,0.085096266,0.322978105,-0.02841,0.101829064,,,,,,,,,
Jun-02,-0.008922,-0.034541,0.0091596,0.0051833,-0.064789987,0.0282978,0.0229712,-0.037524,0.0491831,0.134840073,-0.03352,0.067496513,0.25655318,-0.067642506,0.087820279,0.296648354,-0.074506476,0.106026586,,,,,,,,,
Jul-02,-0.013135,-0.038592,0.0084442,-0.018803,-0.09487041,0.0272645,0.00482234,-0.090334794,0.0516483,0.067863651,-0.065211351,0.06939147,0.216954998,-0.095471229,0.089603053,0.27145213,-0.116815428,0.108806778,0.329916295,-0.079896328,0.123767406,,,,,,
Aug-02,-0.0046724,-0.029891,0.00779936,-0.026729,-0.103023611,0.0254032,-0.0032744,-0.130894605,0.0527406,0.023461,-0.095957558,0.071084973,0.170893741,-0.113124483,0.090510271,0.255211023,-0.143806349,0.11049951,0.296248829,-0.131433508,0.127232308,,,,,,
Sep-02,0.0114845,-0.010813,0.00695813,-0.006323,-0.079295779,0.0232017,-0.0011397,-0.144085766,0.0514995,0.0166482,-0.116819756,0.07238487,0.128517088,-0.112815711,0.090698239,0.250230195,-0.146938285,0.111022005,0.290325369,-0.153802254,0.129228312,,,,,,
Oct-02,0.0190519,0.00163802,0.00661217,0.025864,-0.039066,0.0213697,0.00706103,-0.133936486,0.0486341,0.0306864,-0.129400869,0.073017959,0.093727668,-0.104277426,0.090761128,0.242819015,-0.134537305,0.110972711,0.297316147,-0.155881504,0.130176436,0.355780311,-0.118962404,0.145137064,,,
Nov-02,0.013689,0.00247417,0.00671953,0.0442254,-0.0067005,0.0202898,0.0174961,-0.109724152,0.0456931,0.040951,-0.137595145,0.073030456,0.067686396,-0.102658098,0.091374798,0.215119158,-0.119825023,0.110800096,0.29943644,-0.150506889,0.130789335,0.340474246,-0.138134048,0.147522133,,,
Dec-02,0.000540025,-0.0060381,0.00710835,0.0332809,-0.0019259,0.0204401,0.026958,-0.081221678,0.0436418,0.0321413,-0.146011665,0.071939555,0.0499292,-0.118745655,0.09282492,0.161798032,-0.11474161,0.111138289,0.283511139,-0.148864184,0.131462055,0.323606313,-0.155728153,0.149668362,,,
